city,year,weekofyear,total_cases
sj,2011,19,11
sj,2011,20,15
sj,2011,21,28
sj,2011,22,26
sj,2011,23,38
sj,2011,24,29
sj,2011,25,22
sj,2011,26,32
sj,2011,27,31
sj,2011,28,20
sj,2011,29,36
sj,2011,30,28
sj,2011,31,29
sj,2011,32,20
sj,2011,33,24
sj,2011,34,35
sj,2011,35,22
sj,2011,36,26
sj,2011,37,34
sj,2011,38,33
sj,2011,39,9
sj,2011,40,11
sj,2011,41,40
sj,2011,42,31
sj,2011,43,36
sj,2011,44,29
sj,2011,45,27
sj,2011,46,36
sj,2011,47,27
sj,2011,48,22
sj,2011,49,8
sj,2011,50,15
sj,2011,51,32
sj,2012,52,27
sj,2012,1,-6
sj,2012,2,-6
sj,2012,3,0
sj,2012,4,-2
sj,2012,5,-1
sj,2012,6,-13
sj,2012,7,2
sj,2012,8,-33
sj,2012,9,0
sj,2012,10,-3
sj,2012,11,-10
sj,2012,12,8
sj,2012,13,7
sj,2012,14,6
sj,2012,15,16
sj,2012,16,-2
sj,2012,17,6
sj,2012,18,25
sj,2012,19,13
sj,2012,20,25
sj,2012,21,15
sj,2012,22,11
sj,2012,23,9
sj,2012,24,24
sj,2012,25,15
sj,2012,26,25
sj,2012,27,25
sj,2012,28,28
sj,2012,29,33
sj,2012,30,29
sj,2012,31,29
sj,2012,32,21
sj,2012,33,43
sj,2012,34,39
sj,2012,35,26
sj,2012,36,10
sj,2012,37,21
sj,2012,38,24
sj,2012,39,33
sj,2012,40,21
sj,2012,41,32
sj,2012,42,36
sj,2012,43,36
sj,2012,44,37
sj,2012,45,29
sj,2012,46,33
sj,2012,47,56
sj,2012,48,20
sj,2012,49,26
sj,2012,50,34
sj,2012,51,37
sj,2013,1,0
sj,2013,2,7
sj,2013,3,2
sj,2013,4,-10
sj,2013,5,4
sj,2013,6,-2
sj,2013,7,-13
sj,2013,8,-8
sj,2013,9,2
sj,2013,10,16
sj,2013,11,-12
sj,2013,12,1
sj,2013,13,4
sj,2013,14,-1
sj,2013,15,2
sj,2013,16,12
sj,2013,17,8
iq,2010,26,1
iq,2010,27,-11
iq,2010,28,3
iq,2010,29,20
iq,2010,30,-3
iq,2010,31,-8
iq,2010,32,-17
iq,2010,33,-7
iq,2010,34,-14
iq,2010,35,-6
iq,2010,36,23
iq,2010,37,10
iq,2010,38,-6
iq,2010,39,-14
iq,2010,40,8
iq,2010,41,-1
iq,2010,42,5
iq,2010,43,22
iq,2010,44,17
iq,2010,45,10
iq,2010,46,11
iq,2010,47,8
iq,2010,48,31
iq,2010,49,16
iq,2010,50,2
iq,2010,51,17
iq,2011,52,12
iq,2011,1,-24
iq,2011,2,-6
iq,2011,3,-7
iq,2011,4,-11
iq,2011,5,-1
iq,2011,6,-2
iq,2011,7,-15
iq,2011,8,0
iq,2011,9,-1
iq,2011,10,-13
iq,2011,11,-23
iq,2011,12,7
iq,2011,13,8
iq,2011,14,-24
iq,2011,15,-2
iq,2011,16,6
iq,2011,17,-1
iq,2011,18,-6
iq,2011,19,-11
iq,2011,20,8
iq,2011,21,8
iq,2011,22,24
iq,2011,23,19
iq,2011,24,2
iq,2011,25,15
iq,2011,26,19
iq,2011,27,29
iq,2011,28,-14
iq,2011,29,-20
iq,2011,30,-14
iq,2011,31,-29
iq,2011,32,-14
iq,2011,33,-15
iq,2011,34,-5
iq,2011,35,-14
iq,2011,36,-9
iq,2011,37,20
iq,2011,38,-10
iq,2011,39,-11
iq,2011,40,-15
iq,2011,41,10
iq,2011,42,11
iq,2011,43,-24
iq,2011,44,-12
iq,2011,45,3
iq,2011,46,15
iq,2011,47,2
iq,2011,48,1
iq,2011,49,3
iq,2011,50,11
iq,2011,51,1
iq,2012,52,10
iq,2012,1,-9
iq,2012,2,-14
iq,2012,3,-10
iq,2012,4,-29
iq,2012,5,-8
iq,2012,6,-1
iq,2012,7,-22
iq,2012,8,-6
iq,2012,9,-18
iq,2012,10,-19
iq,2012,11,-8
iq,2012,12,-13
iq,2012,13,-11
iq,2012,14,-1
iq,2012,15,0
iq,2012,16,-12
iq,2012,17,-30
iq,2012,18,-2
iq,2012,19,-17
iq,2012,20,-21
iq,2012,21,-8
iq,2012,22,-11
iq,2012,23,0
iq,2012,24,-8
iq,2012,25,-28
iq,2012,26,-9
iq,2012,27,-20
iq,2012,28,2
iq,2012,29,-4
iq,2012,30,-27
iq,2012,31,-4
iq,2012,32,-11
iq,2012,33,0
iq,2012,34,-25
iq,2012,35,8
iq,2012,36,0
iq,2012,37,-13
iq,2012,38,-32
iq,2012,39,-9
iq,2012,40,14
iq,2012,41,9
iq,2012,42,1
iq,2012,43,14
iq,2012,44,-2
iq,2012,45,-1
iq,2012,46,13
iq,2012,47,8
iq,2012,48,-6
iq,2012,49,-1
iq,2012,50,10
iq,2012,51,14
iq,2013,1,-13
iq,2013,2,-11
iq,2013,3,-11
iq,2013,4,-2
iq,2013,5,-22
iq,2013,6,-24
iq,2013,7,-22
iq,2013,8,-10
iq,2013,9,-23
iq,2013,10,-14
iq,2013,11,-6
iq,2013,12,-1
iq,2013,13,-11
iq,2013,14,-15
iq,2013,15,-11
iq,2013,16,4
iq,2013,17,-14
iq,2013,18,-36
iq,2013,19,-18
iq,2013,20,-11
iq,2013,21,-4
iq,2013,22,-20
iq,2013,23,-17
iq,2013,24,-11
iq,2013,25,-39
iq,2013,26,-27
